GName	ShNam	MF	Mass	HMDB	KEGG	PC	Chebi	Mesh	FinalClass	Verif
"Isovaleric acid"	Isovalerate	C5H10O2	102.06808	HMDB00718	C08262	10430	chebiId:28484	67008216	"Fatty Acyls"	
"Lauric acid"	Laurate	C12H24O2	200.17763	HMDB00638	C02679	3893	chebiId:30805	67030358	"Fatty Acyls"	
"Linoleic acid"	Linoleate	C18H32O2	280.24023	HMDB00673	C01595	5280450	chebiId:17351	68019787	"Fatty Acyls"	
"Linolenic acid"	Linolenate	C18H30O2	278.22458	HMDB01388	C06427	5280934	chebiId:27432	68017962	"Fatty Acyls"	D
"Margaric acid"	Margarate	C17H34O2	270.25588	HMDB02259		10465		67013102	"Fatty Acyls"	
"Myristic acid"	Myristate	C14H28O2	228.20893	HMDB00806	C06424	11005	chebiId:28875	68019814	"Fatty Acyls"	
"Myristoleic acid"	Myristoleate	C14H26O2	226.19328	HMDB02000	C08322	5281119	chebiId:27781	67054211	"Fatty Acyls"	D
"Nonadecanoic acid"	Nonadecanoate	C19H38O2	298.28718	HMDB00772	C16535	12591	chebiId:39246	67517969	"Fatty Acyls"	D
"Nonadecenoic acid"	Nonadecenoate	C19H36O2	296.27153	HMDB13622		5312513	chebiId:37527	67517969	"Fatty Acyls"	D
"Nonanoic acid"	Nonanoate	C9H18O2	158.13068	HMDB00847	C01601	8158	chebiId:29019	67008776	"Fatty Acyls"	
"Oleic acid"	Oleate	C18H34O2	282.25588	HMDB00207	C00712	445639	chebiId:16196	68019301	"Fatty Acyls"	
"Palmitic acid"	Palmitate	C16H32O2	256.24023	HMDB00220	C00249	985	chebiId:15756	68019308	"Fatty Acyls"	
"Palmitoleic acid"	Palmitoleate	C16H30O2	254.22458	HMDB03229	C08362	445638	chebiId:28716	67008757	"Fatty Acyls"	
"Pentadecanoic acid"	Pentadecanoate	C15H30O2	242.22458	HMDB00826	C16537	13849	chebiId:42504	67117025	"Fatty Acyls"	D
"Pentadecenoic acid"	Pentadecenoate	C15H28O2	240.20893	HMDB29765		6365140			"Fatty Acyls"	D
"Propionic acid"	Propionate	C3H6O2	74.03678	HMDB00237	C00163	1032	chebiId:30768	67029658	"Fatty Acyls"	
"Sebacic acid"	Sebacate	C10H18O4	202.12051	HMDB00792	C08277	5192	chebiId:41865	67011107	"Fatty Acyls"	
"Stearic acid"	Stearate	C18H36O2	284.27153	HMDB00827	C01530	5281	chebiId:28842	67031183	"Fatty Acyls"	
"Stearidonic acid"	Stearidonate	C18H28O2	276.20893	HMDB06547	C16300	5312508	chebiId:32389	67062895	"Fatty Acyls"	D
"Tetradecadienoic acid"	Tetradecadienoate	C14H24O2	224.17763	HMDB00560		5312409	chebiId:70719		"Fatty Acyls"	D
"Tridecanoic acid"	Tridecanoate	C13H26O2	214.19328	HMDB00910	C17076	12530	chebiId:45919		"Fatty Acyls"	D
"Undecanedioic acid"	Undecanedioate	C11H20O4	216.13616	HMDB00888		15816			"Fatty Acyls"	D
"Undodecanoic acid"	Undodecanoate	C11H22O2	186.16198	HMDB00947	C17715	8180	chebiId:32368	67016173	"Fatty Acyls"	D
"Valeric acid"	Valerate	C5H10O2	102.06808	HMDB00892	C00803	7991	chebiId:17418	67038780	"Fatty Acyls"	
Acetylcholine	AcCholine	C7H15NO2	145.11028	HMDB00895	C01996	187	chebiId:15355	68000109	Lipids	D
"Choline phosphate"	Pcholine	C5H14NO4P	183.06605	HMDB01565	C00588	1014	chebiId:18132	68010767	Lipids	D
Glycerol-3-phosphate	Glycerol-3P	C3H9O6P	172.01368	HMDB00126	C00093	439162	chebiId:15978	67029620	Lipids	
Glycerophosphorylcholine	GPCholine	C8H20NO6P	257.10282	HMDB00086	C00670	11234	chebiId:16870	68005997	Lipids	D
O-phosphoethanolamine	OPEth	C2H8NO4P	141.01909	HMDB00224	C00346	1015	chebiId:17553	67005448	Lipids	
Sphingosine-1-phosphate	S1P	C18H38NO5P	379.24876	HMDB00277	C06124	5283560	chebiId:37550	67060506	Lipids	D
2-deoxycytidine	2DeOCytidine	C9H13N3O4	227.09061	HMDB00014	C00881	13711	chebiId:15698	68003841	Nucleosides	D
Adenosine	Adenosine	C10H13N5O4	267.09675	HMDB00050	C00212	60961	chebiId:16335	68000241	Nucleosides	S
Cytidine	Cytidine	C9H13N3O5	243.08552	HMDB00089	C00475	6175	chebiId:17562	68003562	Nucleosides	S
Succinyladenosine	SAdo	C14H17N5O8	383.10771	HMDB00912		20849086	chebiId:71169	67043565	Nucleosides	D
Uridine	Uridine	C9H12N2O6	244.06954	HMDB00296	C00299	6029	chebiId:16704	68014529	Nucleosides	D
Xanthosine	Xanthosine	C10H12N4O6	284.07568	HMDB00299	C01762	64959	chebiId:18107	67005893	Nucleosides	S
ADP	ADP	C10H15N5O10P2	427.02941	HMDB01341	C00008	6022	chebiId:16761	68000244	Nucleotides	S
AMP	AMP	C10H14N5O7P	347.06308	HMDB00045	C00020	6083	chebiId:16027	68000249	Nucleotides	S
ATP	ATP	C10H16N5O13P3	506.99574	HMDB00538	C00002	5957	chebiId:15422	68000255	Nucleotides	S
cAMP	cAMP	C10H12N5O6P	329.05252	HMDB00058	C00575	6076	chebiId:17489	68000242	Nucleotides	S
CMP	CMP	C9H14N3O8P	323.05185	HMDB00095	C00055	6131	chebiId:17361	68003568	Nucleotides	S
CTP	CTP	C9H16N3O14P3	482.98451	HMDB00082	C00063	6176	chebiId:17677	68003570	Nucleotides	S
GDP	GDP	C10H15N5O11P2	443.02433	HMDB01201	C00035	8977	chebiId:17552	68006153	Nucleotides	S
GMP	GMP	C10H14N5O8P	363.058	HMDB01397	C00144	6804	chebiId:17345	68006157	Nucleotides	S
GTP	GTP	C10H16N5O14P3	522.99066	HMDB01273	C00044	6830	chebiId:15996	68006160	Nucleotides	S
IMP	IMP	C10H13N4O8P	348.0471	HMDB00175	C00130	8582	chebiId:17202	68007291	Nucleotides	D
UDP-glucose	UDPGlc	C15H24N2O17P2	566.05502	HMDB00286	C00029	53477679	chebiId:18066	68014532	Nucleotides	D
UMP	UMP	C9H13N2O9P	324.03587	HMDB00288	C00105	6030	chebiId:16695	68014542	Nucleotides	D
N1-acetylspermidine	N1-AcSpd	C9H21N3O	187.16846	HMDB01276	C00612	496	chebiId:17927	67017988	Polyamine	
N1-acetylspermine	N1-AcSpm	C12H28N4O	244.22631	HMDB01186	C02567	916	chebiId:17312	67029452	Polyamine	
N1-acetyltriethylenetetramine	MAT	C8H20N4O	188.16371			10313446			Polyamine	
N1,N10-diacetyltriethylenetetramine	DAT	C10H22N4O2	230.17428			76974421			Polyamine	
N1,N12-diacetylspermine	N1,N12-DiAcSpm	C14H30N4O2	286.23688	HMDB02172;HMDB41876	C03413	132680	chebiId:28101	67029453	Polyamine	
N1,N8-diacetylspermidine	N1,N8-DiAcSpd	C11H23N3O2	229.17903	HMDB41947		389613			Polyamine	
N8-acetylspermidine	N8-AcSpd	C9H21N3O	187.16846	HMDB02189	C01029	123689	chebiId:27911	67030223	Polyamine	
N-acetylputrescine	NAcPutrescine	C6H14N2O	130.11061	HMDB02064	C02714	122356	chebiId:17768	67026212	Polyamine	
Putrescine	Putrescine	C4H12N2	88.10005	HMDB01414	C00134	1045	chebiId:17148	68011700	Polyamine	
S-adenosylhomocysteine	SAH	C14H20N6O5S	384.12159	HMDB00939	C00021	439155	chebiId:16680	68012435	Polyamine	
S-adenosylmethionine	SAM	C15H22N6O5S	398.13724	HMDB01185	C00019	34756	chebiId:15414	68012436	Polyamine	
Spermidine	Spermidine	C7H19N3	145.1579	HMDB01257	C00315	1102	chebiId:16610	68013095	Polyamine	
Spermine	Spermine	C10H26N4	202.21575	HMDB01256	C00750	1103	chebiId:15746	68013096	Polyamine	
Triethylenetetramine	TETA	C6H18N4	146.15315		C07166	5565	chebiId:39501	68014266	Polyamine	
"12-dehydrocholic acid"	12-dehydroCA	C24H38O5	406.27192	HMDB00400	C01292	94235	chebiId:16312	67025576	Steroids	
"7,12-dihydroxy-3-oxocholanoic acid"	3-dehydroCA	C24H38O5	406.27192			5283956		67017234	Steroids	
"Alpha-muricholic acid"	aMCA	C24H40O5	408.28757	HMDB00506	C17647	5283852	chebiId:81243	67004821	Steroids	
"Beta-muricholic acid"	bMCA	C24H40O5	408.28757	HMDB00415	C17726	5283853	chebiId:81298	67004821	Steroids	
"Chenodeoxycholic acid"	CDCA	C24H40O4	392.29266	HMDB00518	C02528	10133	chebiId:16755	68002635	Steroids	
Cholesterol	Cholesterol	C27H46O	386.35487	HMDB00067	C00187	5997	chebiId:16113	68002784	Steroids	
"Cholic acid"	CA	C24H40O5	408.28757	HMDB00619	C00695	221493	chebiId:16359	68019826	Steroids	
"Cholic acid_ISO"	CA_ISO	C24H40O5	409.29092	HMDB00619	C00695	221493	chebiId:16359	68019826	Steroids	
"Deoxycholic acid"	DCA	C24H40O4	392.29266	HMDB00626	C11171;C04483	222528	chebiId:28834	68003840	Steroids	
"Glycochenodeoxycholic acid"	G-CDCA	C26H43NO5	449.31412	HMDB00637;HMDB06898	C05466	12544	chebiId:36274	68005999	Steroids	
"Glycocholic acid"	G-CA	C26H43NO6	465.30904	HMDB00138	C01921	10140	chebiId:17687	68006000	Steroids	
"Glycodeoxycholic acid"	G-DCA	C26H43NO5	449.31412	HMDB00631	C05464	3035026	chebiId:27471	68006002	Steroids	
"Glycohyocholic acid"	G-HCA	C26H43NO6	465.30904			71361462	chebiId:133176		Steroids	
"Glycohyodeoxycholic acid"	G-HDCA	C26H43NO5	449.31412			114611		67043888	Steroids	
"Glycoursodeoxycholic acid"	G-UDCA	C26H43NO5	449.31412	HMDB00708		12310288		67024033	Steroids	
"Hyocholic acid"	HCA	C24H40O5	408.28757	HMDB00760	C17649	92805	chebiId:81244	67004821	Steroids	
"Hyodeoxycholic acid"	HDCA	C24H40O4	392.29266	HMDB00733		5283820	chebiId:52023	67010471	Steroids	
"Isodeoxycholic acid"	isoDCA	C24H40O4	392.29266	HMDB02536	C17661	164672			Steroids	
"Lithocholic acid"	LCA	C24H40O3	376.29775	HMDB00761	C03990	9903	chebiId:16325	68008095	Steroids	
"Murideoxycholic acid"	MDCA	C24H40O4	392.29266	HMDB00811	C15515	5283821	chebiId:52030	67010471	Steroids	
"Omega-muricholic acid"	wMCA	C24H40O5	408.28757	HMDB00364	C17727	5283851	chebiId:81299	67004821	Steroids	
"Tauro-alpha-muricholic acid"	T-aMCA	C26H45NO7S	515.29167			101657566		67037351	Steroids	
"Tauro-beta-muricholic acid"	T-bMCA	C26H45NO7S	515.29167	HMDB00932		21124703	chebiId:133057	67037351	Steroids	
"Taurochenodeoxycholic acid"	T-CDCA	C26H45NO6S	499.29676	HMDB00951	C05465	387316	chebiId:16525	68013655	Steroids	
"Taurocholic acid"	T-CA	C26H45NO7S	515.29167	HMDB00036	C05122	6675	chebiId:28865	68013656	Steroids	
"Taurocholic acid_ISO"	T-CA_ISO	C26H45NO7S	516.29502	HMDB00036	C05122	6675	chebiId:28865	68013656	Steroids	
"Taurodeoxycholic acid"	T-DCA	C26H45NO6S	499.29676	HMDB00896	C05463	2733768	chebiId:9410	68013657	Steroids	
"Taurohyocholic acid"	T-HCA	C26H45NO7S	515.29167		C15516	11954195	chebiId:52022		Steroids	
"Taurohyodeoxycholic acid"	T-HDCA	C26H45NO6S	499.29676			119046		67083510	Steroids	
"Taurolithocholic acid"	T-LCA	C26H45NO5S	483.30185	HMDB00722	C02592	439763	chebiId:36259	68013658	Steroids	
"Tauro-omega-muricholic acid"	T-wMCA	C26H45NO7S	515.29167			118703092			Steroids	
"Tauroursodeoxycholic acid"	T-UDCA	C26H45NO6S	499.29676	HMDB00874		9848818		67031655	Steroids	
"Ursodeoxycholic acid"	UDCA	C24H40O4	392.29266	HMDB00946	C07880	31401	chebiId:9907	68014580	Steroids	
"4-aminobenzoic acid"	4Aminobenzoate	C7H7NO2	137.04768	HMDB01392	C00568	978	chebiId:30753	68010129	Xenobiotics	D
"4-hydroxymandelic acid"	4-OHMandelate	C8H8O4	168.04226	HMDB00822	C11527	328	chebiId:16388	67014600	Xenobiotics	
"Benzoic acid"	Benzoate	C7H6O2	122.03678	HMDB01870	C00180	243	chebiId:30746	68019817	Xenobiotics	
"Beta-hydroxypyruvic acid"	b-OHPyruvate	C3H4O4	104.01096	HMDB01352	C00168	964	chebiId:30841	67012375	Xenobiotics	
Erythritol	Erythritol	C4H10O4	122.05791	HMDB02994	C00503	8998	chebiId:17113	67002053	Xenobiotics	
"Ferulic acid"	Ferulate	C10H10O4	194.05791	HMDB00537;HMDB00954	C01494	445858	chebiId:17620	67004999	Xenobiotics	
"Glycolic acid"	Glycolate	C2H4O3	76.01604	HMDB00115	C00160	757	chebiId:17497	67031149	Xenobiotics	
"Hippuric acid"	Hippurate	C9H9NO3	179.05824	HMDB00714	C01586	464	chebiId:18089	67030514	Xenobiotics	
"Indole-3-acrylic acid"	Indole-3-acrylate	C11H9NO2	187.06333	HMDB00734		5375048	chebiId:132244	67001446	Xenobiotics	
"Methylmalonic acid"	MeMalonate	C4H6O4	118.02661	HMDB00202	C02170	487	chebiId:30860	68008764	Xenobiotics	
"Methylsuccinic acid"	MeSuccinate	C5H8O4	132.04226	HMDB01844		10349		67039138	Xenobiotics	
N-propylamine	N-propylamine	C3H9N	59.0735	HMDB34006		7852			Xenobiotics	
"Phenylbutyric acid"	Phenylbutyrate	C10H12O2	164.08373	HMDB00543		4775	chebiId:41500	67075773	Xenobiotics	
Pyrocatechol	Pyrocatechol	C6H6O2	110.03678	HMDB00957	C00090	289	chebiId:18135	67034221	Xenobiotics	
"Shikimic acid"	Shikimate	C7H10O5	174.05282	HMDB03070	C00493	8742	chebiId:16119	68012765	Xenobiotics	
