	GName	Class	MF	Mass	HMDB	KEGG	PC	Nam2
	Arbutin;;Ursin;;Uvasol;;Hydroquinone-O-beta-D-glucopyranoside	todo2	C12H16O7	272.089603	HMDB29943	C06186	440936	Arbutin
	S-(1,2-Dichlorovinyl)glutathione;;DCVG	todo2	C12H17Cl2N3O6S	401.021512	NA	C14868	6437359	S-(1,2-Dichlorovinyl)glutathione
	"Thiamin phosphate"	todo	C12H17N4O4PS	344.070813	HMDB02666	C01081	1131	"Thiamin phosphate"
	Thiamine	"Cofactors and vitamins"	C12H17N4OS	265.112307	HMDB00235	C00378	1130	Thiamine
	"Arbutin 6-phosphate;;Arbutin-6P"	todo2	C12H17O10P	352.055933	NA	C06187	440937	"Arbutin 6-phosphate"
	S-(2-Chloroacetyl)glutathione	todo2	C12H18ClN3O7S	383.055399	NA	C14864	163913	S-(2-Chloroacetyl)glutathione
	"2-(S-Glutathionyl)acetyl chloride"	todo2	C12H18ClN3O7S	383.055399	NA	C14865	11954073	"2-(S-Glutathionyl)acetyl chloride"
	Monoethylglycinexylidide	todo2	C12H18N2O	206.141913	NA	C16561	24415	Monoethylglycinexylidide
	3-Hydroxymonoethylglycinexylidide	todo2	C12H18N2O2	222.136828	NA	C16572	3015693	3-Hydroxymonoethylglycinexylidide
	"Thiamin diphosphate"	todo	C12H18N4O7P2S	424.037143	HMDB01372	C00068	1132	"Thiamin diphosphate"
	Digalacturonate	todo	C12H18O13	370.074741	HMDB26533;HMDB39721	C02273	439694	Digalacturonate
	"Jasmonic acid"	todo	C12H18O3	210.125594	HMDB32797	C08491;C16317	5281166;7251183	"Jasmonic acid"
	"S-(2,2-Dichloro-1-hydroxy)ethyl glutathione"	todo2	C12H19Cl2N3O7S	419.032076	NA	C14861	11954070	"S-(2,2-Dichloro-1-hydroxy)ethyl glutathione"
	"Glutathione episulfonium ion"	todo2	C12H19N3O6S	333.099456	NA	C14874	159079	"Glutathione episulfonium ion"
	S-(Formylmethyl)glutathione	todo2	C12H19N3O7S	349.094371	NA	C14871	11954074	S-(Formylmethyl)glutathione
	"2-S-Glutathionyl acetate;;S-(Carboxymethyl)glutathione"	todo2	C12H19N3O8S	365.089286	NA	C14862	11954071	"2-S-Glutathionyl acetate"
	"Thiamin triphosphate;;Thiamine triphosphate"	todo2	C12H19N4O10P3S	504.003474	HMDB01512	C03028	511	"Thiamin triphosphate"
	"N-Acetyldemethylphosphinothricin tripeptide"	todo2	C12H20N3O7P	349.103887	NA	C17950	46174007	"N-Acetyldemethylphosphinothricin tripeptide"
	3-Ketosucrose;;3-Dehydro-alpha-D-glucosyl-beta-D-fructofuranoside	todo2	C12H20O11	340.100561	NA	C05731	440773	3-Ketosucrose
x	"Traumatin;;(10E)-12-Oxododecenoic acid"	todo2	C12H20O3	212.141244	HMDB23910	C16309	5312889	"Oxododecenoic acid"
x	"12-Oxo-9(Z)-dodecenoic acid"	todo2	C12H20O3	212.141244	NA	C16311	9548789	"Oxododecenoic acid"
	"Traumatic acid;;(2E)-Dodecenedioic acid;;Dodec-2-enedioic acid"	todo2	C12H20O4	228.136159	HMDB00933	C16308	5283028	"Traumatic acid"
	CDP-glycerol	todo2	C12H21N3O13P2	477.054961	NA	C00513	439249	CDP-glycerol
	L-Pyrrolysine;;Pyrrolysine	todo2	C12H21N3O3	255.158292	NA	C16138	5460671	Pyrrolysine
	S-(2-Hydroxyethyl)glutathione	todo2	C12H21N3O7S	351.110021	NA	C14875	5460887	S-hydroxyethylglutathione
	"Carnitine C5:1"	Lipids	C12H21NO4	243.147058	HMDB02366		22833596	"Carnitine C5:1"
	Glutarylcarnitine	Lipids	C12H21NO6	275.136887	HMDB13130		53481622	Glutarylcarnitine
	N-((R)-Pantothenoyl)-L-cysteine;;D-Pantothenoyl-L-cysteine;;N-Pantothenoylcysteine	todo2	C12H22N2O6S	322.119857	HMDB06834	C04079	440217	N-((R)-Pantothenoyl)-L-cysteine
	2-Deamino-2-hydroxy-6-dehydroparomamine	todo2	C12H22N2O8	322.137616	NA	C20351	70678837	2-Deamino-2-hydroxy-6-dehydroparomamine
	Geosmin;;(-)-Geosmin;;trans-1,10-Dimethyl-trans-9-decalol	todo2	C12H22O	182.167065	HMDB36461	C16286	29746	Geosmin
	Isomaltose	Carbohydrates	C12H22O11	342.116212	HMDB02923	C00252	439193	Isomaltose
	Lactose	Carbohydrates	C12H22O11	342.116212	HMDB00186	C00243	84571	Lactose
	Maltose	Carbohydrates	C12H22O11	342.116212	HMDB00163	C00208	439341;6255	Maltose
	Sucrose	Carbohydrates	C12H22O11	342.116212	HMDB00258	C00089	5988	Sucrose
	Trehalose	Carbohydrates	C12H22O11	342.116212	HMDB00975	C01083	7427	Trehalose
	Cellobiose;;1-beta-D-Glucopyranosyl-4-D-glucopyranose	todo2	C12H22O11	342.116212	NA	C00185	439178	Cellobiose
	alpha-D-Galactosyl-(1->3)-1D-myo-inositol;;O-alpha-D-Galactosyl-(1->3)-1D-myo-inositol;;3-O-alpha-D-Galactosyl-1D-myo-inositol;;1-alpha-D-Galactosyl-myo-inositol;;Galactinol	todo2	C12H22O11	342.116212	HMDB05826	C01235	11727586	Galactinol
	Epimelibiose;;6-O-(alpha-D-Galactopyranosyl)-D-mannopyranose	todo2	C12H22O11	342.116212	HMDB06792	C05400	46173743	Epimelibiose
	Melibiose;;6-O-(alpha-D-Galactopyranosyl)-D-glucopyranose;;D-Gal-alpha1->6D-Glucose	todo2	C12H22O11	342.116212	HMDB00048	C05402	440658	Melibiose
	"Dodecenoic acid"	Lipids	C12H22O2	198.16198	HMDB00529;HMDB10729;HMDB32248		5312378;5282729;125207	"Dodecenoic acid"
	"Dodecanedioic acid"	Lipids	C12H22O4	230.151809	HMDB00623	C02678	12736	"Dodecanedioic acid"
x	"2-(7-Methylthio)heptylmalic acid;;2-(7-Methylthio)heptylmalate"	todo2	C12H22O5S	278.118795	NA	C17230	44237390	"Methylthioheptylmalic acid"
x	"3-(7-Methylthio)heptylmalic acid;;3-(7-Methylthio)heptylmalate"	todo2	C12H22O5S	278.118795	NA	C17231	44237173	"Methylthioheptylmalic acid"
	Phosphopantothenoyl-cysteine	todo	C12H23N2O9PS	402.086188	HMDB01117	C04352	440304	Phosphopantothenoyl-cysteine
	(2R,3R)-3-Methylglutamyl-5-semialdehyde-N6-lysine	todo2	C12H23N3O4	273.168856	NA	C20279	71448982	(2R,3R)-3-Methylglutamyl-5-semialdehyde-N6-lysine
	6-Dehydro-6-oxoparomamine;;6-Dehydroparomamine;;6-Oxoparomamine	todo2	C12H23N3O7	321.1536	NA	C17583	46173949	6-Dehydro-6-oxoparomamine
x	2-methylbutyrylcarnitine	Lipids	C12H23NO4	245.162708	HMDB00378		6426901	"Carnitine C5:0"
x	"Carnitine C5:0"	Lipids	C12H23NO4	245.162708	HMDB00688		6426851	"Carnitine C5:0"
	4-Methylthiobutyl-desulfoglucosinolate	todo2	C12H23NO6S2	341.096679	NA	C17248	46173874	4-Methylthiobutyl-desulfoglucosinolate
	"Glucoerucin;;4-Methylthiobutyl glucosinolate"	todo2	C12H23NO9S3	421.053494	HMDB38403	C08409	656539	Glucoerucin
	Trehalose-6-phosphate	Carbohydrates	C12H23O14P	422.082542	HMDB01124	C00689	122336	Trehalose-6-phosphate
	"Sucrose 6-phosphate;;Sucrose 6F-phosphate"	todo2	C12H23O14P	422.082542	NA	C02591	439762	"Sucrose 6-phosphate"
	"Maltose 6-phosphate"	todo2	C12H23O14P	422.082542	NA	C02995	439874	"Maltose 6-phosphate"
	"Lactose 6-phosphate"	todo2	C12H23O14P	422.082542	HMDB06789	C05396	440654	"Lactose 6-phosphate"
	"Sucrose 6-phosphate;;6-Phosphosucrose;;6-O-Phosphonosucrose;;beta-D-Fructofuranosyl-6-O-phosphono-alpha-D-glucopyranoside"	todo2	C12H23O14P	422.082542	NA	C16688	644101	"Sucrose 6-phosphate"
	"alpha-Maltose 1-phosphate"	todo2	C12H23O14P	422.082542	NA	C20237	167489	"Maltose 1-phosphate"
	Leucylleucine	Peptides	C12H24N2O3	244.178693	HMDB28933	C11332	94244	Leucylleucine
	2-Deamino-2-hydroxyparomamine	todo2	C12H24N2O8	324.153266	NA	C20353	10711092	2-Deamino-2-hydroxyparomamine
	Melibiitol;;6-O-alpha-D-Galactosyl-D-glucitol	todo2	C12H24O11	344.131862	HMDB06791	C05399	15559964	Melibiitol
	"Bis(1L-myo-inositol)-3,1-phosphate 1-phosphate"	todo2	C12H24O17P2	502.048873	NA	C19799	53262311	"Bis(1L-myo-inositol)-3,1-phosphate 1-phosphate"
	"Lauric acid"	Lipids	C12H24O2	200.17763	HMDB00638	C02679	3893	"Lauric acid"
	"Hydroxydodecanoic acid"	Xenobiotics	C12H24O3	216.172545	HMDB02059	C08317	79034	"Hydroxydodecanoic acid"
	"Paromamine;;Neomycin D"	todo2	C12H25N3O7	323.16925	NA	C01743	439560	Paromamine
	2-Deamino-2-hydroxyneamine	todo2	C12H25N3O7	323.16925	NA	C20350	207889	2-Deamino-2-hydroxyneamine
	(2R,3R)-3-Methylornithinyl-N6-lysine	todo2	C12H26N4O3	274.200491	NA	C20278	57339222	(2R,3R)-3-Methylornithinyl-N6-lysine
	"Neamine;;Neomycin A"	todo2	C12H26N4O6	322.185235	NA	C01441	72392	Neamine
	N-acetylspermine	"Amino acids"	C12H28N4O	244.226312	HMDB01186	C02567	916	N-acetylspermine
x	"1,2,3,4,7,8-Hexachlorodibenzofuran;;1,2,3,4,7,8-HxCDF;;PCDF 118"	todo2	C12H2Cl6O	371.823681	NA	C18107	51130	Hexachlorodibenzodioxin
x	"1,2,3,7,8,9-Hexachlorodibenzofuran;;1,2,3,7,8,9-HxCDF;;PCDF 124"	todo2	C12H2Cl6O	371.823681	NA	C18108	51720	Hexachlorodibenzodioxin
x	"1,2,3,6,7,8-Hexachlorodibenzofuran;;1,2,3,6,7,8-HxCDF;;PCDF 121"	todo2	C12H2Cl6O	371.823681	NA	C18109	42140	Hexachlorodibenzodioxin
x	"2,3,4,6,7,8-Hexachlorodibenzofuran;;2,3,4,6,7,8-HxCDF;;PCDF 130"	todo2	C12H2Cl6O	371.823681	NA	C18110	43495	Hexachlorodibenzodioxin
x	"1,2,3,4,7,8-Hexachlorodibenzodioxin;;1,2,3,4,7,8-Hexachlorodibenzo-p-dioxin;;1,2,3,4,7,8-HxCDD;;PCDD 66"	todo2	C12H2Cl6O2	387.818595	NA	C18100	38251	Hexachlorodibenzodioxin
x	"1,2,3,6,7,8-Hexachlorodibenzodioxin;;1,2,3,6,7,8-Hexachlorodibenzo-p-dioxin;;1,2,3,6,7,8-HxCDD;;PCDD 67"	todo2	C12H2Cl6O2	387.818595	NA	C18101	42540	Hexachlorodibenzodioxin
x	"1,2,3,7,8,9-Hexachlorodibenzodioxin;;1,2,3,7,8,9-Hexachlorodibenzo-p-dioxin;;1,2,3,7,8,9-HxCDD;;PCDD 70"	todo2	C12H2Cl6O2	387.818595	NA	C18102	29575	Hexachlorodibenzodioxin
x	"1,2,3,7,8-Pentachlorodibenzofuran;;1,2,3,7,8-PeCDF;;PCDF 94"	todo2	C12H3Cl5O	337.862653	NA	C18105	42138	Pentachlorodibenzofuran
x	"2,3,4,7,8-Pentachlorodibenzofuran;;2,3,4,7,8-PeCDF;;PCDF 114"	todo2	C12H3Cl5O	337.862653	NA	C18106	42128	Pentachlorodibenzofuran
	"1,2,3,7,8-Pentachlorodibenzodioxin;;1,2,3,7,8-Pentachlorodibenzo-p-dioxin;;1,2,3,7,8-PeCDD;;PCDD 54"	todo2	C12H3Cl5O2	353.857568	NA	C18099	38439	Pentachlorodibenzodioxin
	"2,3,3,4,4,5,5-Heptachlorobiphenyl;;PCB 189"	todo2	C12H3Cl7	391.805444	NA	C18123	38306	Heptachlorobiphenyl
	"2,3,7,8-Tetrachlorodibenzofuran;;2,3,7,8-TCDF;;PCDF 83"	todo2	C12H4Cl4O	303.901625	NA	C18104	39929	Tetrachlorodibenzofuran
	"2,3,7,8-Tetrachlorodibenzodioxin;;Tetrachlorodibenzodioxin;;2,3,7,8-Tetrachlorodibenzo-p-dioxin;;TCDD;;PCDD 48"	todo2	C12H4Cl4O2	319.89654	NA	C07557	15625	Tetrachlorodibenzodioxin
x	"3,4,5,3,4,5-Hexachlorobiphenyl;;PCB 169"	todo2	C12H4Cl6	357.844416	NA	C18115	36231	Hexachlorobiphenyl
x	"2,3,3,4,4,5-Hexachlorobiphenyl;;PCB 156"	todo2	C12H4Cl6	357.844416	NA	C18120	38019	Hexachlorobiphenyl
x	"2,3,3,4,4,5-Hexachlorobiphenyl;;PCB 157"	todo2	C12H4Cl6	357.844416	NA	C18121	50891	Hexachlorobiphenyl
x	"2,3,4,4,5,5-Hexachlorobiphenyl;;PCB 167"	todo2	C12H4Cl6	357.844416	NA	C18122	40479	Hexachlorobiphenyl
x	"3,3,4,4,5-Pentachlorobiphenyl;;PCB 126"	todo2	C12H5Cl5	323.883389	NA	C14573	63090	Pentachlorobiphenyl
x	"2,3,4,3,4-Pentachlorobiphenyl;;PCB 105"	todo2	C12H5Cl5	323.883389	NA	C18116	36188	Pentachlorobiphenyl
x	"2,3,4,4,5-Pentachlorobiphenyl;;PCB 114"	todo2	C12H5Cl5	323.883389	NA	C18117	53036	Pentachlorobiphenyl
x	"2,3,4,4,5-Pentachlorobiphenyl;;PCB 118"	todo2	C12H5Cl5	323.883389	NA	C18118	35823	Pentachlorobiphenyl
x	"2,3,4,4,5-Pentachlorobiphenyl;;PCB 123"	todo2	C12H5Cl5	323.883389	NA	C18119	47650	Pentachlorobiphenyl
x	"3,4,3,4-Tetrachlorobiphenyl;;PCB 77"	todo2	C12H6Cl4	289.922361	NA	C11057	36187	Tetrachlorobiphenyl
x	"3,4,4,5-Tetrachlorobiphenyl;;PCB 81"	todo2	C12H6Cl4	289.922361	NA	C18114	51043	Tetrachlorobiphenyl
	2-Aminophenoxazin-3-one;;3-Aminophenoxazone;;Isophenoxazine	todo2	C12H8N2O2	212.058577	HMDB30483	C02161	72725	2-Aminophenoxazin-3-one
	"Dibenzofuran;;Diphenylene oxide"	todo2	C12H8O	168.057515	NA	C07729	568	Dibenzofuran
	Dibenzo-p-dioxin	todo2	C12H8O2	184.052429	NA	C07732	9216	Dibenzodioxin
	"4-Chlorobiphenyl;;1-Chloro-4-phenyl benzene;;4-Monochloro-biphenyl"	todo2	C12H9Cl	188.039278	NA	C06584	16323	Chlorobiphenyl
	2,3-Dihydroxy-4-chlorobiphenyl	todo2	C12H9ClO2	220.029107	NA	C06586	441091	2,3-Dihydroxy-4-chlorobiphenyl
	2-Hydroxy-6-oxo-6-(4-chlorophenyl)-hexa-2,4-dienoate	todo2	C12H9ClO4	252.018936	NA	C06587	5280968	2-Hydroxy-6-oxo-6-(4-chlorophenyl)-hexa-2,4-dienoate
	Carbazole	todo	C12H9N	167.073499		C08060	6854	Carbazole
x	"1,2,3,4,6,7,8-Heptachlorodibenzofuran;;1,2,3,4,6,7,8-HpCDF;;PCDF 131"	todo2	C12HCl7O	405.784708	NA	C18111	38199	Heptachlorodibenzofuran
x	"1,2,3,4,7,8,9-Heptachlorodibenzofuran;;1,2,3,4,7,8,9-HpCDF;;PCDF 134"	todo2	C12HCl7O	405.784708	NA	C18112	41510	Heptachlorodibenzofuran
	"1,2,3,4,6,7,8-Heptachlorodibenzodioxin;;1,2,3,4,6,7,8-Heptachlorodibenzo-p-dioxin;;1,2,3,4,6,7,8-HpCDD;;PCDD 73"	todo2	C12HCl7O2	421.779623	NA	C18103	37270	Heptachlorodibenzodioxin
	Fluorene;;Diphenylenemethane;;2,2-Methylenebiphenyl	todo2	C13H10	166.07825	NA	C07715	6853	Fluorene
	4-Carboxy-4-sulfoazobenzene	todo2	C13H10N2O5S	306.031042	NA	C06673	441135	4-Carboxy-4-sulfoazobenzene
	"Fluoren-9-ol;;9-Fluorenol;;9-Hydroxyfluorene;;Diphenylene carbinol"	todo2	C13H10O	182.073165	NA	C06711	74318	Fluoren-9-ol
	3,4-Dihydroxyfluorene	todo2	C13H10O2	198.06808	NA	C07717	441316	3,4-Dihydroxyfluorene
	1,2-Dihydroxyfluorene	todo2	C13H10O2	198.06808	NA	C07724	441321	1,2-Dihydroxyfluorene
	"Phenyl salicylate"	Xenobiotics	C13H10O3	214.062994	HMDB32018	C14163	8361	"Phenyl salicylate"
	3,4-Dihydroxy-3,4-dihydro-9-fluorenone	todo2	C13H10O3	214.062994	NA	C07722	441320	3,4-Dihydroxy-3,4-dihydro-9-fluorenone
	4,4-Dihydroxybenzophenone	todo2	C13H10O3	214.062994	NA	C14220	69150	4,4-Dihydroxybenzophenone
	1-Hydro-1,1a-dihydroxy-9-fluorenone	todo2	C13H10O3	214.062994	NA	C16262	164480	1-Hydro-1,1a-dihydroxy-9-fluorenone
	"2-Hydroxy-4-(1-oxo-1,3-dihydro-2H-inden-2-ylidene)-but-2-enoic acid"	todo2	C13H10O4	230.057909	NA	C07718	25246219	"2-Hydroxy-4-(1-oxo-1,3-dihydro-2H-inden-2-ylidene)-but-2-enoic acid"
	"2-Hydroxy-4-(2-oxo-1,3-dihydro-2H-inden-1-ylidene)but-2-enoic acid"	todo2	C13H10O4	230.057909	NA	C07725	5281060	"2-Hydroxy-4-(2-oxo-1,3-dihydro-2H-inden-1-ylidene)but-2-enoic acid"
	2,3-Dihydroxy-2-carboxybiphenyl	todo2	C13H10O4	230.057909	NA	C16263	9543324	2,3-Dihydroxy-2-carboxybiphenyl
	4-Hydroxyphenyl-4-hydroxybenzoate	todo2	C13H10O4	230.057909	NA	C18216	6426651	4-Hydroxyphenyl-4-hydroxybenzoate
	2-Hydroxy-6-oxo-6-(2-carboxyphenyl)-hexa-2,4-dienoate	todo2	C13H10O6	262.047738	NA	C16264	23724683	2-Hydroxy-6-oxo-6-(2-carboxyphenyl)-hexa-2,4-dienoate
	(+)-(3S,4R)-cis-3,4-Dihydroxy-3,4-dihydrofluorene	todo2	C13H12O2	200.08373	NA	C07721	441319	(+)-(3S,4R)-cis-3,4-Dihydroxy-3,4-dihydrofluorene
	"Bis(4-hydroxyphenyl)methane;;4,4-Dihydroxydiphenylmethane;;Bisphenol F"	todo2	C13H12O2	200.08373	NA	C14298	12111	Bis(4-hydroxyphenyl)methane
	Bis(4-hydroxyphenyl)methanol	todo2	C13H12O3	216.078644	NA	C18215	13542891	Bis(4-hydroxyphenyl)methanol
	"(1R,2R)-3-[(1,2-Dihydro-2-hydroxy-1-naphthalenyl)thio]-2-oxopropanoic acid"	todo2	C13H12O4S	264.04563	NA	C14799	11954050	"(1R,2R)-3-[(1,2-Dihydro-2-hydroxy-1-naphthalenyl)thio]-2-oxopropanoic acid"
	"Salicylate glucuronide"	Xenobiotics	C13H14O9	314.063782	HMDB10313		3084023	"Salicylate glucuronide"
	Indolylmethylthiohydroximoyl-cysteine	todo	C13H15N3O3S	293.083412		C16518	25245902	Indolylmethylthiohydroximoyl-cysteine
	"4-Hydroxyphenylacetylglutamic acid;;p-Hydroxyphenylacetylglutamic acid;;4-Hydroxyphenylacetylglutamate;;p-Hydroxyphenylacetylglutamate"	todo2	C13H15NO6	281.089937	HMDB06061	C05595	440731	"4-Hydroxyphenylacetylglutamic acid"
	Melatonin	Xenobiotics	C13H16N2O2	232.121178	HMDB01389	C01598	896	Melatonin
	6-Hydroxymelatonin	todo2	C13H16N2O3	248.116092	HMDB04081	C05643	1864	6-Hydroxymelatonin
	Phenylacetylglutamine;;alpha-N-Phenylacetyl-L-glutamine;;N2-(2-Phenylacetyl)-L-glutamine	todo2	C13H16N2O4	264.111007	HMDB06344	C04148	92258	Phenylacetylglutamine
	Formyl-N-acetyl-5-methoxykynurenamine	todo2	C13H16N2O4	264.111007	HMDB04259	C05642	171161	Formyl-N-acetyl-5-methoxykynurenamine
	"Epithienamycin E;;MM13902"	todo2	C13H16N2O8S2	392.034807	NA	C11755	11953962	"Epithienamycin E"
	Plastoquinone	todo2	C13H16O2	204.11503	HMDB30129	C02061	10219885	Plastoquinone
	"Hexenyl salicylic acid"	Xenobiotics	C13H16O3	220.109944	HMDB61942		5371102	"Hexenyl salicylic acid"
	"3-Dimethylallyl-4-hydroxymandelic acid"	todo2	C13H16O4	236.104859	NA	C12457	443851	"3-Dimethylallyl-4-hydroxymandelic acid"
	"Salicylic acid glucoside"	Xenobiotics	C13H16O8	300.084517	HMDB41271		4596190	"Salicylic acid glucoside"
	4-(beta-D-Glucosyloxy)benzoate;;4-Hydroxybenzoate-O-glucoside	todo2	C13H16O8	300.084517	NA	C03993	440186	4-(beta-D-Glucosyloxy)benzoate
	p-Coumaroylputrescine	todo2	C13H18N2O2	234.136828	NA	C18326	6439562	p-Coumaroylputrescine
	N-Acetylthienamycin	todo2	C13H18N2O5S	314.093643	NA	C17377	46173897	N-Acetylthienamycin
	"Epithienamycin F"	todo2	C13H18N2O8S2	394.050458	NA	C17399	10365832	"Epithienamycin F"
	Dimethyl-ribityllumazine	todo	C13H18N4O6	326.122634	HMDB03826	C04332	168989	Dimethyl-ribityllumazine
	"Propionyladenylate;;Propionyl-adenosine monophosphate"	todo2	C13H18N5O8P	403.089299	HMDB06806	C05983	440863	Propionyladenylate
	"Lupinate;;Lupinic acid;;3-[N6-(4-Hydroxyisopentenyl)adeninyl]-L-alanine;;(S)-2-Amino-3-{[(E)-4-hydroxy-3-methylbut-2-enylamino]purin-9-yl}propanoic acid"	todo2	C13H18N6O3	306.144038	NA	C01513	5461055	Lupinate
	Plastoquinol-1	todo2	C13H18O2	206.13068	NA	C02185	24892729	Plastoquinol-1
	"Hexyl salicylic acid"	Xenobiotics	C13H18O3	222.125594	HMDB61943		22629	"Hexyl salicylic acid"
	"3-[(3aS,4S,7aS)-7a-Methyl-1,5-dioxo-octahydro-1H-inden-4-yl]propanoate;;9,17-Dioxo-1,2,3,4,10,19-hexanorandrostan-5-oic acid;;DOHNAA;;HIP"	todo2	C13H18O4	238.120509	NA	C20199	11770512	3-[(3aS,4S,7aS)-7a-Methyl-1,5-dioxo-octahydro-1H-inden-4-yl]propanoate
	Salicin;;Salicoside	todo2	C13H18O7	286.105253	HMDB03546	C01451	439503	Salicin
	SAICAR	todo	C13H19N4O12P	454.073709	HMDB00797	C04823	160666	SAICAR
	Lactyl-diphospho-guanosine	todo	C13H19N5O13P2	515.045459		C19155	25203722	Lactyl-diphospho-guanosine
	"Salicin 6-phosphate;;Salicin-6P"	todo2	C13H19O10P	366.071583	NA	C06188	440938	"Salicin 6-phosphate"
	"Methyl jasmonate;;(-)-Methyl jasmonate"	todo2	C13H20O3	224.141244	HMDB23123	C11512	5281929	"Methyl jasmonate"
	(+)-7-Isomethyljasmonate	todo2	C13H20O3	224.141244	NA	C16318	6427970	(+)-7-Isomethyljasmonate
	S-lactoylglutathione	"Amino acids"	C13H21N3O8S	379.104936	HMDB01066	C03451	1083	S-lactoylglutathione
	"Pseudaminic acid;;5,7-Bis(acetylamino)-3,5,7,9-tetradeoxy-L-glycero-alpha-L-manno-2-nonulopyranosonic acid"	todo2	C13H22N2O8	334.137616	NA	C20082	56927740	"Pseudaminic acid"
	N,N-Diacetyllegionaminate	todo2	C13H22N2O8	334.137616	NA	C20418	21572994	N,N-Diacetyllegionaminate
	"Cysteine-glutathione disulfide"	"Amino acids"	C13H22N4O8S2	426.087906	HMDB00656		4247235	"Cysteine-glutathione disulfide"
	S-Glutathionyl-L-cysteine	todo2	C13H22N4O8S2	426.087906	NA	C05526	10455148	S-Glutathionyl-L-cysteine
	"Octyl-oxoglutaric acid"	Xenobiotics	C13H22O5	258.146724				"Octyl-oxoglutaric acid"
	"Carnitine C6:1"	Lipids	C13H23NO4	257.162708	HMDB13161		53481638	"Carnitine C6:1"
	3-methylglutarylcarnitine	Lipids	C13H23NO6	289.152537	HMDB00552		128145	3-methylglutarylcarnitine
	L-(+)-Anaferine;;Anapheline	todo2	C13H24N2O	224.188863	NA	C06183	440934	L-(+)-Anaferine
	"N-Acetylbialaphos;;N-Acetylphosphinothricin tripeptide"	todo2	C13H24N3O7P	365.135187	NA	C17951	46174008	N-Acetylbialaphos
	"Carnitine C6:0"	Lipids	C13H25NO4	259.178358	HMDB00705		6426853	"Carnitine C6:0"
	"Glucoberteroin;;5-Methylthiopentyl glucosinolate"	todo2	C13H25NO9S3	435.069144	NA	C08401	656525	Glucoberteroin
	CoM-S-S-CoB	todo	C13H26NO10PS3	483.045646		C04832	5460331	CoM-S-S-CoB
	"Tridecanoic acid"	Lipids	C13H26O2	214.19328	HMDB00910	C17076	12530	"Tridecanoic acid"
	Fluoren-9-one;;9-Fluorenone	todo2	C13H8O	180.057515	NA	C06712	10241	Fluoren-9-one
	4-Hydroxy-9-fluorenone	todo2	C13H8O2	196.052429	NA	C07723	16139	4-Hydroxy-9-fluorenone
	6,7-Benzocoumarin	todo2	C13H8O2	196.052429	NA	C16211	9543378	6,7-Benzocoumarin
	Phenanthrene;;Phenanthracene	todo2	C14H10	178.07825	NA	C11422	995	Phenanthrene
	Anthracene	todo2	C14H10	178.07825	NA	C14315	8418	Anthracene
	4,4,6,6-Tetranitro-2,2-azoxytoluene	todo2	C14H10N6O9	406.050926	NA	C16411	114859	4,4,6,6-Tetranitro-2,2-azoxytoluene
	2,4,6,6-Tetranitro-2,4-azoxytoluene	todo2	C14H10N6O9	406.050926	NA	C16412	148524	2,4,6,6-Tetranitro-2,4-azoxytoluene
	2,2,6,6-Tetranitro-4,4-azoxytoluene	todo2	C14H10N6O9	406.050926	NA	C16413	108119	2,2,6,6-Tetranitro-4,4-azoxytoluene
	Phenanthrene-9,10-oxide	todo2	C14H10O	194.073165	NA	C11429	443196	Phenanthrene-9,10-oxide
	9-Hydroxyphenanthrene;;9-Phenanthrol	todo2	C14H10O	194.073165	NA	C11430	10229	9-Hydroxyphenanthrene
	Phenanthrene-1,2-oxide	todo2	C14H10O	194.073165	NA	C11431	443197	Phenanthrene-1,2-oxide
	1-Phenanthrol;;1-Hydroxyphenanthrene	todo2	C14H10O	194.073165	NA	C11432	98490	1-Phenanthrol
	Phenanthrene-3,4-diol;;3,4-Dihydroxyphenanthrene	todo2	C14H10O2	210.06808	NA	C03164	439929	Phenanthrene-3,4-diol
	1,2-Anthracenediol	todo2	C14H10O2	210.06808	NA	C16204	155464	1,2-Anthracenediol
	9,10-Dihydroxyanthracene;;9,10-Anthracenediol	todo2	C14H10O2	210.06808	NA	C16206	21082	9,10-Dihydroxyanthracene
	2-Hydroxy-2H-benzo[h]chromene-2-carboxylate	todo2	C14H10O4	242.057909	NA	C11425	443193	2-Hydroxy-2H-benzo[h]chromene-2-carboxylate
	cis-4-(1-Hydroxynaphth-2-yl)-2-oxobut-3-enoate	todo2	C14H10O4	242.057909	NA	C11426	5281916	cis-4-(1-Hydroxynaphth-2-yl)-2-oxobut-3-enoate
	"3-(2-Carboxyvinyl)naphthalene-2-carboxylic acid"	todo2	C14H10O4	242.057909	NA	C16209	14945680	"3-(2-Carboxyvinyl)naphthalene-2-carboxylic acid"
	"4-(3-Hydroxy-2-naphthyl)-2-oxobut-3-enoic acid"	todo2	C14H10O4	242.057909	NA	C16210	23724658	"4-(3-Hydroxy-2-naphthyl)-2-oxobut-3-enoic acid"
	2-Hydroxyiminostilbene	todo2	C14H11NO	209.084064	NA	C16604	13103864	2-Hydroxyiminostilbene
	Pinosylvin;;3,5-Stilbenediol	todo2	C14H12O2	212.08373	NA	C01745	5280457	Pinosylvin
	(+)-cis-3,4-Dihydrophenanthrene-3,4-diol;;cis-3,4-Dihydroxy-3,4-dihydrophenanthrene	todo2	C14H12O2	212.08373	NA	C04468	440351	(+)-cis-3,4-Dihydrophenanthrene-3,4-diol
